distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,wait_img_started,key_resp_3_keys,key_resp_3_rt,image_5_started,ins_rep_img_started,st_prac_back_started,prac_img_started,st_fix_back_started,st_fix_2_started,main_prac,st_back_started,st_ans,st_res,st_corr,st_rt,st2_resp_keys,st2_resp_corr,st_main_back_started,mouse_4_started,main_key_started,main_img_started,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,main_key_keys,main_key_rt,contineu_img_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8,8,19,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,201.371908899979,k,k,1,1.23232089995872,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,9,9,23,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,203.605925099924,None,None,1,1.53268609999213,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10,10,14,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,206.138997099944,None,None,1,1.53135820000898,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,11,36,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,208.672300999984,k,k,1,1.13175379997119,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,12,12,11,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,210.806915599969,None,None,1,1.52056890004314,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,27,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,213.328012399958,k,k,1,1.17645750008523,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,31,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,215.504825599957,None,None,1,1.52998360001948,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,34,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,218.038717299933,k,k,1,1.20261130004656,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,220.242438599933,k,k,1,1.27191869996022,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,57,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,222.52428709995,None,None,1,1.50855829997454,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,18,18,9,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,225.024808999966,k,k,1,1.23083919996861,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,19,19,48,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,227.257465100032,None,None,1,1.53149339999072,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,20,20,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,229.7890778,None,None,1,1.5307107999688,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,21,21,21,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,232.32197499997,None,None,1,1.53546420007478,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,22,22,10,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,234.858606699971,k,k,1,1.33071699994616,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,23,23,59,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,237.191587999929,k,k,1,1.33290999999736,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,24,24,2,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,239.524441899965,k,k,1,1.23167360003572,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,25,25,46,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,241.757029599976,None,None,1,1.53005889989436,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,red,1,None,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,26,26,49,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,244.289241599967,None,None,1,1.53207219997421,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
positive,blue,1,k,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,27,27,50,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,246.822235699976,None,None,1,1.53256359999068,None,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
negative,blue,1,None,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,28,28,44,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,main,249.35692749999,k,k,1,1.266864300007,None,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,403,2023-08-15_14h41.45.680,Main,2023.1.2,30.1351955292461
