target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,22,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,neutral,k,,0,1.68446309999854,269.866412599997,270.883082099997,270.849670299998,None,269.866412599997,None,269.866412599997,None,269.866412599997,None,272.516150099997,None,272.516150099997,None,272.516150099997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,23,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,1.14436099999875,273.566184399999,274.615916999999,274.584297699999,None,273.566184399999,None,273.566184399999,None,273.566184399999,None,275.667268033333,None,275.667268033333,None,275.667268033333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,6,24,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,negative,j,j,1,1.76084990000163,275.718370099999,276.766706199996,276.682508799997,None,275.718370099999,None,275.718370099999,None,275.718370099999,None,278.416473566664,None,278.416473566664,None,278.416473566664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,7,25,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,negative,j,j,1,1.59241499999916,278.467104199997,279.514553699999,279.464396299998,None,278.467104199997,None,278.467104199997,None,278.467104199997,None,281.014345966665,None,281.014345966665,None,281.014345966665,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,8,26,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,0.974417999997968,281.083909099998,282.146758999999,282.064961299999,None,281.083909099998,None,281.083909099998,None,281.083909099998,None,282.996311066665,None,282.996311066665,None,282.996311066665,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,9,27,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,neutral,k,k,1,1.50181730000259,283.033416899998,284.096854199997,284.047384099998,None,283.033416899998,None,283.033416899998,None,283.033416899998,None,285.512613533331,None,285.512613533331,None,285.512613533331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,10,28,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,1.96520890000102,285.564719399998,286.629162999998,286.546560699997,None,285.564719399998,None,285.564719399998,None,285.564719399998,None,288.482117533331,None,288.482117533331,None,288.482117533331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,11,29,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,j,j,1,1.69080319999921,288.546367399998,289.597223299999,289.545694599998,None,288.546367399998,None,288.546367399998,None,288.546367399998,None,291.18010343333,None,291.18010343333,None,291.18010343333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,12,30,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,j,j,1,1.69878239999889,291.229155699999,292.299880399998,292.250147199997,None,291.229155699999,None,291.229155699999,None,291.229155699999,None,293.894190133331,None,293.894190133331,None,293.894190133331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,13,31,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,l,l,1,3.7911411999994,293.9467042,294.977361899997,294.915088099999,None,293.9467042,None,293.9467042,None,293.9467042,None,298.711161199997,None,298.711161199997,None,298.711161199997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,14,32,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,l,l,1,1.25422740000067,299.779786299998,300.842682099999,300.792618799998,None,299.779786299998,None,299.779786299998,None,299.779786299998,None,301.977471266666,None,301.977471266666,None,301.977471266666,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,15,33,0,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,negative,j,j,1,1.26407209999888,302.0086452,303.045291099999,303.008897299998,None,302.0086452,None,302.0086452,None,302.0086452,None,304.258364433332,None,304.258364433332,None,304.258364433332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,16,34,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,positive,l,l,1,1.93414330000087,304.293360199998,305.361745499999,305.310758599997,None,304.293360199998,None,304.293360199998,None,304.293360199998,None,307.191101333331,None,307.191101333331,None,307.191101333331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,17,35,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,,0,2.06212080000114,307.244738399997,308.324104299998,308.224057799998,None,307.244738399997,None,307.244738399997,None,307.244738399997,None,310.2929778,None,310.2929778,None,310.2929778,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,0,36,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,neutral,k,j,0,3.06715880000047,311.342781799998,312.389599899998,312.341760399999,None,311.342781799998,None,311.342781799998,None,311.342781799998,None,315.390376699997,None,315.390376699997,None,315.390376699997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,1,37,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,negative,j,j,1,3.19095020000168,316.471647899998,317.522825699998,317.438367799998,None,316.471647899998,None,316.471647899998,None,316.471647899998,None,320.623182299998,None,320.623182299998,None,320.623182299998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,2,38,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,2.5426933000017,321.670785099999,322.704934599999,322.671844099998,None,321.670785099999,None,321.670785099999,None,321.670785099999,None,325.1893131,None,325.1893131,None,325.1893131,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,3,39,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,neutral,k,k,1,2.27031319999878,326.241837399997,327.3061972,327.252577099996,None,326.241837399997,None,326.241837399997,None,326.241837399997,None,329.503239099999,None,329.503239099999,None,329.503239099999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,4,40,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,j,j,1,2.54475950000051,330.5539923,331.5847196,331.5527592,None,330.5539923,None,330.5539923,None,330.5539923,None,334.084027899997,None,334.084027899997,None,334.084027899997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,5,41,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,2.98644779999813,335.133628399999,336.167052899997,336.167052899997,None,335.133628399999,None,335.133628399999,None,335.133628399999,None,339.118078899999,None,339.118078899999,None,339.118078899999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,6,42,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,l,l,1,3.2438112000018,340.169409399998,341.232391599999,341.132704699998,None,340.169409399998,None,340.169409399998,None,340.169409399998,None,344.384556099998,None,344.384556099998,None,344.384556099998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,7,43,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,l,l,1,1.8593054999983,345.431303599999,346.4476884,346.415126,None,345.431303599999,None,345.431303599999,None,345.431303599999,None,348.26791003333,None,348.26791003333,None,348.26791003333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,8,44,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,2.39190339999914,348.317674099999,349.3805784,349.299896199998,None,348.317674099999,None,348.317674099999,None,348.317674099999,None,351.683121099999,None,351.683121099999,None,351.683121099999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,9,45,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,negative,j,j,1,2.40050899999915,352.732838699998,353.746139299998,353.7171891,None,352.732838699998,None,352.732838699998,None,352.732838699998,None,356.100286299999,None,356.100286299999,None,356.100286299999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,10,46,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,2.94764750000104,357.128510399998,358.161505199998,358.129448399999,None,357.128510399998,None,357.128510399998,None,357.128510399998,None,361.066406499998,None,361.066406499998,None,361.066406499998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,11,47,0,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,negative,j,j,1,2.40184410000074,362.110392199997,363.127514399999,363.098510599997,None,362.110392199997,None,362.110392199997,None,362.110392199997,None,365.480622299998,None,365.480622299998,None,365.480622299998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,12,48,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,l,l,1,5.02326300000277,366.530843099998,367.576091299998,367.526060199998,None,366.530843099998,None,366.530843099998,None,366.530843099998,None,372.524634699999,None,372.524634699999,None,372.524634699999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,13,49,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,2.26646170000095,373.578676199999,374.642927899997,374.590975699997,None,373.578676199999,None,373.578676199999,None,373.578676199999,None,376.825471699998,None,376.825471699998,None,376.825471699998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,14,50,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,2.29346350000196,377.874091899997,378.906572199998,378.844303899998,None,377.874091899997,None,377.874091899997,None,377.874091899997,None,381.139138299997,None,381.139138299997,None,381.139138299997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,15,51,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,3.50822939999853,382.189489099997,383.205320399997,383.177694099999,None,382.189489099997,None,382.189489099997,None,382.189489099997,None,386.673637499996,None,386.673637499996,None,386.673637499996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,16,52,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,positive,l,l,1,2.04588250000234,387.7040867,388.754125899999,388.706181499998,None,387.7040867,None,387.7040867,None,387.7040867,None,390.738871199999,None,390.738871199999,None,390.738871199999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,17,53,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,positive,l,l,1,2.15970770000058,391.769835799998,392.803897399997,392.772186799997,None,391.769835799998,None,391.769835799998,None,391.769835799998,None,394.919526099999,None,394.919526099999,None,394.919526099999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,0,54,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,1.88747720000174,395.987637799997,397.035571599998,396.951873899998,None,395.987637799997,None,395.987637799997,None,395.987637799997,None,398.801314166664,None,398.801314166664,None,398.801314166664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,1,55,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,j,j,1,4.23487219999879,398.8369389,399.885243499997,399.834977899998,None,398.8369389,None,398.8369389,None,398.8369389,None,404.067080199999,None,404.067080199999,None,404.067080199999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,2,56,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,positive,l,l,1,3.56455590000041,405.116242599997,406.167382099997,406.1165535,None,405.116242599997,None,405.116242599997,None,405.116242599997,None,409.668099499999,None,409.668099499999,None,409.668099499999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,3,57,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,negative,j,j,1,1.56852179999987,410.7367141,411.799006499998,411.748641099999,None,410.7367141,None,410.7367141,None,410.7367141,None,413.247948166663,None,413.247948166663,None,413.247948166663,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,4,58,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,negative,j,j,1,5.3556333000015,413.283243999998,414.3168639,414.281704499997,None,413.283243999998,None,413.283243999998,None,413.283243999998,None,419.6312282,None,419.6312282,None,419.6312282,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,5,59,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,,0,1.26281640000161,420.664153999998,421.712682699999,421.662677799999,None,420.664153999998,None,420.664153999998,None,420.664153999998,None,422.913133599999,None,422.913133599999,None,422.913133599999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,6,60,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,2.66751640000075,423.945524699997,424.978244399997,424.945037199999,None,423.945524699997,None,423.945524699997,None,423.945524699997,None,427.593853899998,None,427.593853899998,None,427.593853899998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,7,61,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,positive,l,l,1,11.0064638999975,428.627773599997,429.6797644,429.627374199998,None,428.627773599997,None,428.627773599997,None,428.627773599997,None,440.626663999999,None,440.626663999999,None,440.626663999999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,8,62,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,l,l,1,1.41087870000047,441.674770099999,442.709619499998,442.675055699998,None,441.674770099999,None,441.674770099999,None,441.674770099999,None,444.04066243333,None,444.04066243333,None,444.04066243333,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,9,63,0,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,negative,j,j,1,1.38404829999854,444.094878599997,445.174506399999,445.123875999998,None,444.094878599997,None,444.094878599997,None,444.094878599997,None,446.440512433332,None,446.440512433332,None,446.440512433332,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,10,64,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,j,j,1,1.60192710000047,446.476513099999,447.540003499998,447.490108999998,None,446.476513099999,None,446.476513099999,None,446.476513099999,None,449.042570066664,None,449.042570066664,None,449.042570066664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,11,65,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,positive,l,l,1,1.97708260000218,449.074645199998,450.1223302,450.088802699996,None,449.074645199998,None,449.074645199998,None,449.074645199998,None,452.022080266667,None,452.022080266667,None,452.022080266667,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,12,66,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,positive,l,l,1,1.94641590000174,452.0576501,453.111110499998,453.072051899999,None,452.0576501,None,452.0576501,None,452.0576501,None,454.971970366664,None,454.971970366664,None,454.971970366664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,13,67,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,l,l,1,2.29162820000056,455.006290399997,456.037701199999,456.004460699998,None,455.006290399997,None,455.006290399997,None,455.006290399997,None,458.306186399997,None,458.306186399997,None,458.306186399997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,3,14,68,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,1.91572410000299,459.3402852,460.388779399997,460.336896399996,None,459.3402852,None,459.3402852,None,459.3402852,None,462.223747933331,None,462.223747933331,None,462.223747933331,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,502,2023-08-15_15h51.01.525,Main,2022.1.1,None
